Villaconancio;451;251;0;251;451;2335
Collazos de Boedo;3680;160;0;160;3680;3680
Mantinos;2558;82;0;82;2558;2558
Pedrosa de la Vega;7271;173;0;173;7271;7271
Lagartos;79;154;0;154;79;3997
Villacidaler;0;43;0;43;0;2661
San Román de la Cuba;0;56;0;56;0;1905
Autillo de Campos;0;108;0;108;0;3758
Villoldo;0;316;0;316;0;7474
Villaluenga de la Vega;6101;120;0;120;6101;8465
Cevico de la Torre;1244;550;0;550;1244;4530
Villada;0;408;0;408;0;14836
Husillos;0;227;0;227;0;4353
Castrillo de Onielo;2337;311;0;311;2337;4577
Castrejón de la Peña;9063;562;662;562;9725;9725
Carrión de los Condes;12;1476;0;1476;12;13621
Prádanos de Ojeda;688;194;0;194;688;4132
Mazariegos;0;152;0;152;0;4104
Becerril de Campos;0;484;0;484;0;12505
Requena de Campos;44;223;0;223;44;1749
Amayuelas de Arriba;0;123;0;123;0;1123
Valde-Ucieza;39;258;0;258;39;5232
Capillas;0;50;0;50;0;1544
Tabanera de Valdavia;1459;20;0;20;1459;1459
Villaumbrales;0;790;0;790;0;8306
Támara de Campos;0;77;0;77;0;3498
Mudá;2286;79;0;79;2286;2286
Salinas de Pisuerga;303;312;0;312;303;7601
Villodre;0;112;0;112;0;1795
Frómista;0;879;0;879;0;9371
Villasila de Valdavia;1009;133;0;133;1009;3240
Quintana del Puente;2889;311;0;311;2889;5157
Cubillas de Cerrato;638;272;0;272;638;2679
Magaz de Pisuerga;0;450;0;450;0;18403
Villalcázar de Sirga;0;495;0;495;0;2959
Santibáñez de la Peña;13993;766;430;766;14423;15070
Castil de Vela;0;77;0;77;0;1700
Villabasta de Valdavia;1425;52;0;52;1425;2217
Espinosa de Villagonzalo;111;144;1392;144;1503;2243
Amusco;38;1183;0;1183;38;10405
Soto de Cerrato;2452;117;0;117;2452;2452
Polentinos;1264;18;0;18;1264;1264
Dehesa de Montejo;2070;544;259;544;2329;4397
Herrera de Pisuerga;4390;2133;30;2133;4421;23973
Pino del Río;4357;88;0;88;4357;4733
Villota del Páramo;4139;129;0;129;4139;6350
Cervera de Pisuerga;29845;2389;897;2389;30742;35405
Valderrábano;2445;38;0;38;2445;3025
Villamoronta;760;63;0;63;760;4468
Palencia;9501;11449;1286;11449;10787;125620
Alba de Cerrato;2526;260;0;260;2526;2558
Triollo;827;261;0;261;827;1986
Torremormojón;0;103;0;103;0;2032
Velilla del Río Carrión;10127;703;0;703;10127;18082
Ledigos;0;133;0;133;0;1893
Santervás de la Vega;3756;243;0;243;3756;17742
Villanuño de Valdavia;3165;57;0;57;3165;3226
Villamuera de la Cueza;0;61;0;61;0;1554
Tariego de Cerrato;291;130;0;130;291;2875
Autilla del Pino;0;102;0;102;0;4215
Meneses de Campos;0;100;0;100;0;3595
Brañosera;8552;207;123;207;8676;8850
Villamartín de Campos;60;198;0;198;60;4868
Villameriel;4072;137;0;137;4072;4716
Cervatos de la Cueza;46;306;0;306;46;6582
Valbuena de Pisuerga;0;161;0;161;0;2209
Villasarracino;0;163;0;163;0;4178
Santa Cruz de Boedo;2292;96;0;96;2292;2292
Grijota;4665;803;249;803;4914;20185
Renedo de la Vega;0;207;0;207;0;5937
Payo de Ojeda;744;83;0;83;744;1712
Vertavillo;3469;477;0;477;3469;3469
Santibáñez de Ecla;524;252;0;252;524;1146
Hontoria de Cerrato;1622;170;0;170;1622;2107
Abia de las Torres;0;97;0;97;0;3397
Baltanás;12980;609;0;609;12980;17154
Lantadilla;0;157;0;157;0;4908
Villerías de Campos;0;52;0;52;0;2280
Moratinos;0;278;0;278;0;2452
Berzosilla;2720;88;0;88;2720;2720
San Cristóbal de Boedo;847;28;0;28;847;1835
La Serna;0;111;0;111;0;1667
Astudillo;3990;331;0;331;3990;10664
Dueñas;4869;1010;0;1010;4869;17920
Calahorra de Boedo;2442;60;0;60;2442;2442
Villalaco;0;243;0;243;0;2606
San Mamés de Campos;0;50;0;50;0;2014
Arconada;0;89;0;89;0;1986
Bárcena de Campos;1555;35;0;35;1555;1555
Belmonte de Campos;506;237;0;237;506;1950
Revilla de Collazos;2472;60;0;60;2472;2472
Villarramiel;219;385;0;385;219;12225
San Cebrián de Campos;0;587;0;587;0;4907
Boadilla de Rioseco;0;238;0;238;0;3068
Villahán;335;70;0;70;335;2794
Micieces de Ojeda;1565;164;0;164;1565;2048
Villanueva del Rebollar;0;58;0;58;0;2413
Pozo de Urama;0;51;0;51;0;1271
Bustillo de la Vega;3987;56;0;56;3987;4792
Palenzuela;1883;338;0;338;1883;6561
San Cebrián de Mudá;3451;78;0;78;3451;3593
Antigüedad;4199;747;0;747;4199;5916
Fresno del Río;5217;44;0;44;5217;5217
Villaprovedo;560;114;0;114;560;3344
Villalba de Guardo;787;57;0;57;787;787
Olea de Boedo;1563;44;0;44;1563;1563
La Vid de Ojeda;2652;117;0;117;2652;2652
Barruelo de Santullán;12114;373;0;373;12114;26229
Villamediana;1263;164;0;164;1263;5910
Población de Arroyo;0;97;0;97;0;2400
Herrera de Valdecañas;948;195;0;195;948;4531
Castrillo de Villavega;2348;279;0;279;2348;3833
Cisneros;0;289;0;289;0;7827
Villaturde;0;126;0;126;0;5078
Valle de Cerrato;650;189;0;189;650;2251
Reinoso de Cerrato;320;150;0;150;320;1868
Villovieco;0;76;0;76;0;2576
Quintanilla de Onsoña;3397;565;0;565;3397;7460
Población de Cerrato;1951;157;0;157;1951;2041
Villalobón;389;262;0;262;389;14284
Santoyo;0;609;0;609;0;6154
Ayuela;1410;30;0;30;1410;1410
Guardo;17535;1109;83;1109;17618;30753
Cevico Navero;2142;426;0;426;2142;4798
Población de Campos;0;160;0;160;0;3670
Olmos de Ojeda;2764;1613;0;1613;2764;6301
Aguilar de Campoo;30235;2916;140;2916;30375;47363
Villaherreros;0;212;0;212;0;3390
Loma de Ucieza;0;295;0;295;0;8410
Perales;0;366;0;366;0;4064
Torquemada;4170;410;0;410;4170;10856
Tabanera de Cerrato;425;88;0;88;425;2871
Guaza de Campos;0;65;0;65;0;3262
Villamuriel de Cerrato;372;1395;731;1395;1103;24604
Villodrigo;1579;113;0;113;1579;2369
Sotobañado y Priorato;3798;114;0;114;3798;3798
Poza de la Vega;1433;51;0;51;1433;3940
Espinosa de Cerrato;4798;51;0;51;4798;4798
Castrillo de Don Juan;634;712;0;712;634;3655
Castromocho;0;174;0;174;0;3910
Villaeles de Valdavia;1274;68;0;68;1274;3387
Alar del Rey;5843;1165;0;1165;5843;12807
